identifier,measure,subject,period.start,period.end,measureScore.rate,measureScore.denominator,measureScore.range
1f8fcfb8-850e-4a5e-9e8d-a357111bff0d,Hand-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,1.0,3479,0
3cec33cf-8195-41d8-9c9d-eff2e63069ab,Hand-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,1.0,4422,0
6e362859-6765-47aa-b6de-109bb14fa226,Hand-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,1.0,918,0
3580e4b3-398c-498c-8f0a-065c225f1336,Hand-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,1.0,1455,0
667af233-d6de-426f-a2b4-e2c806b51014,Provider-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,1.0,4869,0
6e4d3edb-bbb2-43d2-9a0f-4f911ea814bd,Provider-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,1.0,3195,0
02eb5b3e-a1bf-499a-a25f-ae7887af5fcb,Provider-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,0.92,3458,0
3ff35de6-74c5-4df8-8a32-4e4ae5f9da9b,Provider-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,1.0,4242,0
87764b5b-3bdd-4e92-af54-2d611e79f51d,Provider-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,0.86,586,0
21f83379-35c6-4629-be2a-47f46b2dbff5,Provider-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,0.84,2995,0
cd007ba0-2ab4-4dbc-8ca7-d21139745b25,Provider-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,0.96,519,0
8b2a9229-ae75-4703-a91d-43e3de8b05cf,Provider-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,1.0,4774,0
7ea24d5f-81be-448e-96cf-e89a64445f43,Provider-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,0.96,4854,0
d7693bb0-d7bc-40f9-8033-f16aafd21f30,Provider-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,1.0,1434,0
669df5b5-20f1-457d-963d-2a20b9be0064,Provider-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,0.81,1669,0
d961d016-73a0-4151-bddf-78cda66db240,Provider-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,1.0,2305,0
7cddcc7b-8ec7-444f-9d11-dabde1eac879,Care-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,0.84,4278,0
724b127e-a958-45a7-ab2d-10db4c3bdc18,Care-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,1.0,2651,0
d776d35a-10c0-4d55-ab7a-9d8bbb11d9df,Care-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,0.79,1551,0
f57f5371-986f-44d5-a289-545a1631289f,Care-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,0.91,70,0
3cc4205d-024c-4599-8504-377de22b854d,Care-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,0.84,3277,0
cc05a788-274b-41ae-b1d0-80a6204b132e,Care-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,1.0,1992,0
ed3b54d1-5df6-4d08-9cf1-37a339351fb1,Care-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,1.0,2716,0
2a13f052-66a8-49d5-ad03-e051f9ff95e6,Care-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,1.0,4881,0
ac0c22ea-22ba-4f1b-82c1-c4723ff940e8,Care-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,0.97,2767,0
82d5e48c-109b-43f1-89f0-7e6b53111a44,Care-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,1.0,4848,0
1f01c3a3-44bc-4de6-a41f-7ba555c79dab,Care-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,1.0,3503,0
29fd4be7-1deb-4ef6-bd35-204dd3756fc2,Care-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,0.89,2336,0
7ed19fed-2d38-43fd-b32b-00ad4ac52854,Clean-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,0.85,4623,0
41f92194-0d8b-4d93-b88b-33e47d7ef0a4,Clean-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,0.94,3233,0
da4c12b9-3c37-42ea-a405-85e62e642bc7,Clean-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,0.84,817,0
1a1dbc32-f1a2-4e8a-aded-ee6421596d29,Clean-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,0.82,1006,0
e69c881c-d5eb-4cd4-925d-fc73504047ef,Clean-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,0.65,1600,0
1624e04b-b18a-4322-a4a1-1f7ea08bd6cb,Clean-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,0.99,1646,0
9afbbd80-da4e-4479-aeae-dca5ec167efa,Clean-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,0.74,1910,0
dbd5230c-1ae8-4f93-b898-4b3d8b765452,Clean-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,0.73,1308,0
84e6941c-8cb6-482d-9df2-d148773034ef,Clean-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,0.97,849,0
85d687ec-61d8-493e-9bea-b4188d7ca6a3,Clean-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,0.84,1095,0
073e89a7-33ad-48fa-8a35-f7f387b94804,Clean-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,0.82,100,0
24096f97-b460-4ddd-8577-f5aa6cb25d38,Clean-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,0.65,3297,0
61619fe8-d978-4e4a-bda3-6f864e255ce9,Quiet-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,0.77,3059,0
d6ee020b-bab5-40d5-9e04-158f7f4da882,Quiet-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,0.91,2958,0
b7dc48c2-39d3-49cc-b991-df794d4ffcd8,Quiet-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,0.5,4266,0
3c6a304a-ac7e-44e1-8f3c-722ca60d60fe,Quiet-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,0.92,2658,0
fecb7064-c23c-4eea-a9d3-3ea123f6ffae,Quiet-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,0.66,4721,0
5e0d94b2-b183-409b-a19b-855751eada03,Quiet-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,0.9,327,0
d422f10e-6343-4eaa-9ffb-bca65a36c5cf,Quiet-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,0.8,4122,0
ec11f255-d63a-4f7b-bc3d-966ff37b7216,Quiet-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,0.95,4629,0
25d52bfc-1c39-483f-9fb7-e229a684d9db,Quiet-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,0.7,3628,0
224dfb19-459b-4277-bbb9-32a5a22d216a,Quiet-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,0.59,3093,0
f271524f-b52a-403e-b2bf-d299c6876245,Quiet-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,0.65,3557,0
f79e8e22-b4ae-4517-aa73-91b3d28ae448,Quiet-Rating-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,0.65,2699,0
fd23ca55-8c48-4d53-871d-07950d98bd7e,Patient-Concern-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,0.83,1729,0
cefebbc9-f4a7-49a1-800e-ea8474b1094f,Patient-Concern-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,0.78,4516,0
eb9330d6-2f3b-4136-bfd6-b0c23305db57,Patient-Concern-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,1.0,1911,0
b53e6140-b7a0-48bc-848c-ba6d997814d3,Patient-Concern-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,1.0,1445,0
f6864f3a-c01e-4076-a38b-e3c43bc74789,Patient-Concern-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,1.0,3316,0
8e290e8c-0b45-4a37-bbcd-33399da9a03c,Patient-Concern-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,1.0,1837,0
9de23b05-a81e-4c4f-a788-8dfb075fae7b,Patient-Concern-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,1.0,1089,0
27fa2e46-10c1-41dc-9715-d9826fb47fae,Patient-Concern-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,0.84,4046,0
96700a4d-e956-43b4-8f8e-01f6888279b8,Patient-Concern-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,1.0,4177,0
33710cd5-9bba-4e68-8a6f-b0ac27ed63fd,Patient-Concern-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,0.83,4885,0
cc05a8c7-85b4-4a9f-bce3-4075ad6ee9c0,Patient-Concern-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,0.85,1568,0
864e277d-cc3d-4214-9097-7e697e9d6479,Patient-Concern-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,1.0,1645,0
3ff7e13e-e7d4-4917-97dd-0f9e5285c9ef,Discharge-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,0.63,3060,0
355ffab8-208f-470f-bbdb-af8bbb369fbd,Discharge-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,0.71,1364,0
59ef3cc5-6d68-457e-921a-5901d977065d,Discharge-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,0.96,4136,0
74eeff30-4fab-460d-9ff7-789959a92c4b,Discharge-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,0.99,3694,0
b73e9ae1-f1cb-4db3-b431-fd068fe4cac9,Discharge-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,0.86,1138,0
d8431bb2-dad8-4916-8c87-8ff2a2b7b9c6,Discharge-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,0.69,3758,0
96687341-14f0-4d76-9bf6-2f093ae7eb71,Discharge-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,0.6,4852,0
879728a0-2504-40a1-bba4-a5a6dbabe276,Discharge-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,0.98,3327,0
8ff24113-73df-4a32-b9d5-0504282ada97,Discharge-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,0.62,1415,0
c7cddb28-cc8e-4591-be58-54c0ed832807,Discharge-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,0.72,1146,0
fe0c81fc-1f1f-4760-b1ba-92b5345d4b10,Discharge-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,0.81,4169,0
1a370533-f9f7-4837-95ad-8da3bdef4009,Discharge-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,0.67,1543,0
1d78b8a6-b469-4eb0-b4c6-607aed31c504,Nurse-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,1.0,809,0
1eb6aa48-0ebd-443a-98a6-352a22f3ba0f,Nurse-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,0.93,2917,0
1d51986c-b2aa-4858-8b2f-9aa165839a41,Nurse-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,0.85,2480,0
eefddea4-da47-4722-a9f4-b6cadf558c8f,Nurse-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,0.83,1577,0
fe424251-5549-4c86-a153-20149fbb05a7,Nurse-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,0.74,2624,0
0f9cd7c8-c409-4614-99d7-460b95134248,Nurse-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,0.81,617,0
1a744217-278b-46b4-a5b4-1aa28ad6ccdb,Nurse-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,0.66,1742,0
50de742d-1ca3-4f7a-ae0a-1b5eea63d591,Nurse-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,0.65,4566,0
0fb01e15-0bed-471d-879e-fe21286ed1cd,Nurse-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,0.93,126,0
8ea8d7ab-ace1-470d-90c7-d62601274c0d,Nurse-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,0.92,2151,0
0af135fa-866c-436f-a2b2-e6f5e7d7e46c,Nurse-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,1.0,2980,0
c9b0b538-ae6d-4099-8ca3-beb71be4c552,Nurse-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,1.0,2678,0
ad1bd10b-0b2e-4eb9-aaec-57d77acd3542,Nurse-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,0.98,2360,0
46a784c1-80ee-45a5-8304-11545d6a38b5,Nurse-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,1.0,629,0
3c3158a9-0bfa-49ed-a39a-a6ba0f2f683e,Nurse-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,1.0,1929,0
5dc65e69-e0b2-451a-a112-69212d9f547d,Nurse-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,0.78,2896,0
cc6d5d46-0df2-4d0e-8c38-b121d284cccf,Nurse-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,1.0,2357,0
eb2d3b5a-70d9-4e85-ae7d-2b2c5dc4930f,Nurse-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,0.92,3778,0
8eccf711-5f7b-4299-814d-b5beea8827b9,Nurse-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,0.88,3128,0
9b21d528-73ab-4e04-bdf7-0e2fad4eba30,Nurse-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,0.88,736,0
e6c1d0da-5ec7-42fc-b13c-244b2c4bf519,Nurse-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,0.95,2724,0
f2eb1322-89a6-44d4-b3f2-05ba0fba384d,Nurse-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,0.91,3319,0
cf6183fb-b42d-4ff1-9ab2-8a847a46bf46,Nurse-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,1.0,3645,0
a6dc7fd9-7c92-465c-ae22-bd0674c0053e,Nurse-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,1.0,1529,0
891ca283-c04a-44c4-afb1-809f3d65975e,Physician-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,0.75,949,0
465bf039-2375-4498-92eb-0d83b2796d44,Physician-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,0.81,575,0
a30ea3b0-ef01-456b-b1d7-857f156a44a3,Physician-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,0.91,2537,0
e2e44403-3fe4-40be-a72c-0373446f74d8,Physician-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,0.74,3839,0
75dbb761-03da-41d4-83b7-b7bfb9a9afe4,Physician-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,0.89,4736,0
5c28bd83-2cc1-49d2-a262-114b19bf391c,Physician-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,0.89,2727,0
1a26cc5a-e7b8-4cc2-88a4-04ce3833f44b,Physician-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,0.95,2419,0
918a67ea-3323-447b-a8db-6c02c86993b2,Physician-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,1.0,3423,0
008b0b79-c8d6-4e0e-91ba-6349f1293736,Physician-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,0.76,4211,0
65027e28-2010-4d6b-86d4-ce31de3d4911,Physician-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,0.84,111,0
ddefed3e-8e63-4f72-b2ce-9f5424d97886,Physician-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,0.76,4044,0
188074d1-8436-42f6-8bc3-23911b8738cc,Physician-language-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,1.0,1318,0
daa63482-857e-43ef-a120-5bcd6f5ca24a,Physician-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,0.91,4203,0
8dbe43b3-0ba0-4d3e-8b49-90d158d3cd33,Physician-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,0.83,2866,0
5ab7ddc5-c72a-4631-9af8-8830d3db185d,Physician-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,0.79,55,0
e4737425-2d5f-4378-ba85-f0bc222bfafb,Physician-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,0.67,3037,0
c714bc8a-4bd1-4390-b491-c6dba24382ab,Physician-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,1.0,1010,0
999710f9-8992-4ae0-9edd-a0863d323744,Physician-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,0.79,2716,0
cc3deec4-ae08-41f1-9129-6bc0380611b7,Physician-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,0.66,3107,0
188f4e0c-7d44-4fc7-a180-a3ae428787aa,Physician-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,0.83,1361,0
f31f0112-bb4f-49cd-8eef-f6184cd5f88c,Physician-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,0.81,2209,0
9df544ff-6a4d-4977-8ef0-7880e31e62b7,Physician-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,1.0,2081,0
15a303aa-d307-4718-9144-30cb3ca69b7a,Physician-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,0.96,1835,0
98153adc-c27a-46f9-9008-35462976d553,Physician-informed-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,0.95,4208,0
5f1936e1-b183-42ff-855f-aaa7573ceba5,Readmission-Ratting-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-02-01,2024-02-29,0.12,3271,0
7dd6517b-dd15-458a-89d4-d91179cbe896,Readmission-Ratting-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-03-01,2024-03-31,0.12,2463,0
6afb6eaa-37f2-47de-979f-8572c01171c6,Readmission-Ratting-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-04-01,2024-04-30,0.12,4251,0
d49c2333-b495-4872-8293-d8240e728982,Readmission-Ratting-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-05-01,2024-05-31,0.17,3456,0
41726011-688d-4b84-9eec-aa67a2093b89,Readmission-Ratting-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-06-01,2024-06-30,0.11,2596,0
d8634091-9e5e-4ff4-a085-e4591701cc15,Readmission-Ratting-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-07-01,2024-07-31,0.16,3694,0
a2591522-82c0-4dd8-80f0-843864b13f7c,Readmission-Ratting-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-08-01,2024-08-31,0.12,3968,0
996edd72-f28a-42fa-adc3-7c3404179123,Readmission-Ratting-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-09-01,2024-09-30,0.14,3681,0
8c4c38a4-0c42-48fd-934f-b9235b2c373f,Readmission-Ratting-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-10-01,2024-10-31,0.12,1392,0
d0e8bbe4-e209-4a40-8704-8984f5db8065,Readmission-Ratting-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-11-01,2024-11-30,0.1,4103,0
7c4d0cb9-84ea-481a-915c-7e6297ea3992,Readmission-Ratting-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2024-12-01,2024-12-31,0.13,4134,0
7dee8ae4-4ebf-4d3d-8417-73ad75c06628,Readmission-Ratting-01,bd7f7252-5561-4210-845d-9be78f3e40cc,2025-01-01,2025-01-31,0.12,578,0
93891441-a361-4c01-abdf-4addf4a881b1,Transfer-01,89a059e6-694a-4e45-ad36-bbb22d9ec54b,2024-02-01,2024-02-29,0.32,1903,0
473d298b-d451-4f15-8e48-799f420cc5a9,Transfer-01,89a059e6-694a-4e45-ad36-bbb22d9ec54b,2024-03-01,2024-03-31,0.56,709,0
f0e985c8-245d-401d-98b6-a17c525a967e,Transfer-01,89a059e6-694a-4e45-ad36-bbb22d9ec54b,2024-04-01,2024-04-30,0.53,4323,0
f8441bdb-eec9-4717-87aa-16875fd91f79,Transfer-01,89a059e6-694a-4e45-ad36-bbb22d9ec54b,2024-05-01,2024-05-31,0.66,3025,0
275d8490-4e1d-4a80-98d4-82019c37ebad,Transfer-01,89a059e6-694a-4e45-ad36-bbb22d9ec54b,2024-06-01,2024-06-30,0.41,2589,0
bc8346ce-3fc3-4608-bcee-862610dfcc5a,Transfer-01,89a059e6-694a-4e45-ad36-bbb22d9ec54b,2024-07-01,2024-07-31,0.48,3660,0
4295a326-7d7a-43d3-a2d7-21fe809c5508,Transfer-01,89a059e6-694a-4e45-ad36-bbb22d9ec54b,2024-08-01,2024-08-31,0.54,3754,0
