PractitionerRole.identifier,PractitionerRole.practitioner,PractitionerRole.organization,PractitionerRole.code
d7e0ec0a-1946-4fe2-a75b-51557c2ad669,,hospital 66, 
2df2a648-38a1-411a-ab50-5e85dbbd0b05,,hospital 67, 
4cfa9089-9fc7-4c25-8640-5c38c7b4de42,,hospital 68, 
a431deab-fe1b-4572-a077-d475b2c7ce70,,hospital 69, 
3e249233-ace8-4ef2-9816-b56fd72b5ec3,,hospital 70, 
81babe4a-27d4-40cf-809d-594cb7390a72,,hospital 71, 
8f302648-ea18-4ea4-9995-d383860d8f51,,hospital 72, 
db692282-2abe-4433-a403-aa10dc34a1ee,,hospital 73, 
77e4e2d3-2b4e-4569-8004-89b3be21dbab,,hospital 74, 
3461d5ec-819f-4ad6-bca0-7556cf0f7427,,hospital 75, 
6af58580-5f7b-4c16-a73a-9737dd288b50,,hospital 76, 
843cc346-e481-419a-bea1-5385d29b1100,,hospital 77, 
d2b8d2be-1cc1-4319-b4b0-021db2a58235,,hospital 78, 
f6fd61fa-259d-4603-9c72-9ca09ebbacda,,hospital 79, 
37e55706-5af3-4ec7-b621-046295eb0893,,hospital 80, 
28e5bb66-6c78-4cce-af21-23200b96e8dc,,hospital 81, 
4f1d1526-d94b-4332-bb67-92687b23d17d,,hospital 82, 
c7f1cadd-800c-476a-bbd3-25c86017d658,,hospital 83, 
745adc86-fe22-4650-a51c-e459580f6ed2,,hospital 84, 
b16e535d-b35f-4881-8163-bcfa2e42aeff,,hospital 85, 
c1072128-e976-4ddc-8624-07462d3a3d50,,hospital 86, 
78806cf4-d060-48ad-b287-392073e8ce94,,hospital 87, 
906fc3c7-9b67-4d03-8d8c-63bbc1824d50,,hospital 88, 
88a73222-1e82-4315-9872-0249821b1353,,hospital 89, 
2e95a2d5-b481-4efb-9b0e-3260749e8f84,,hospital 90, 
6c3e2129-e071-4588-93a7-d3af4c75be2a,,hospital 91, 
59b81ec7-6b93-45b1-b97c-f2851645780d,,hospital 92, 
3cd6db3b-0112-4fb7-9e42-eff95a3138b0,,hospital 93, 
3134b199-d84c-45be-940f-728fbc48d921,,hospital 94, 
9e444fb2-1b8b-4d42-a6c9-def1f376c72c,,hospital 95, 
8da46b14-1e10-48eb-ab84-04a4ea5137bd,,hospital 96, 
f145a44e-26e5-4aee-8b08-377b4bca3db9,,hospital 97, 
ce3e3fed-7d4e-44a8-b3de-f8e145db165e,,hospital 98, 
65b8460f-b92b-40ee-b439-23a949684bde,,hospital 99, 
b4c60463-3ba0-4b56-a649-b6f4288bd8ef,,hospital 100, 
